Issue Type,Summary,Description,Epic Name,Epic Link,Sprint,Story Points,Priority,Labels,Status
Story,Store local_date and local_time at write time,"Computed once, at write time, alongside UTC. Makes ""today"" an indexed equality test that is deterministic, testable in CI, and immune to the phone's timezone changing later. Also: no Intl in formatting, whose output differs between Node and Android. Requirements: FR-57, FR-95, NFR-51 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,3,High,epic:foundation,Done
Story,Implement the ledger write API,"recordReceipt / recordAdministration / recordWastage / recordOpeningBalance / recordAdjustment / reverseMovement. All append-only, all idempotent, all dose-denominated. Validation surfaces as a rejection, never a synchronous throw. Requirements: FR-14, FR-25, FR-46, FR-47 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,5,Highest,epic:foundation,Done
Story,Implement vial-to-dose conversion and low-stock state,"Per-vaccine unit mode. The app does every conversion; if a screen asks a human to multiply, the screen is wrong. Low stock fires at <= the safety limit, not <. Requirements: FR-3, FR-11, FR-5 (see docs/SRS.md).",,Stock & catalog,Sprint 1,3,High,epic:stock,Done
Story,Build the Give Dose grid as the launch screen,"Home is the dose-entry screen, not a dashboard. Two-column tiles ordered by 30-day usage, live search that is NOT autofocused, and per-tile stock so two of the three required reports are ambient. Requirements: FR-61, NFR-11, FR-50 (see docs/SRS.md).",,Dose entry,Sprint 1,5,Highest,epic:dose-entry,Done
Story,Build the dose entry modal,"Three taps from launch, two if the child is skipped. Batch preselected to most-recently-used. No confirmation dialog on the dose path — undo replaces it. Blocks an expired batch; warns but still records when stock would go negative. Requirements: FR-20, FR-21, FR-24, FR-28, FR-29, NFR-8 (see docs/SRS.md).",,Dose entry,Sprint 1,8,Highest,epic:dose-entry,Done
Story,Make the child optional and skippable,"An unnamed dose is enormously better than an unlogged dose, so stock arithmetic is never held hostage to a data-entry field. Skipping flags needs_detail for day-end completion. Requirements: FR-22, FR-23 (see docs/SRS.md).",,Dose entry,Sprint 1,3,Highest,epic:dose-entry,Done
Story,Implement undo as a reversing ledger entry,"An 8-second snackbar with a large hit area and a success haptic. Undo appends a REVERSAL; it never deletes. The same code path serves a correction made three weeks later. Requirements: FR-40, FR-41, FR-43, FR-44, FR-45, NFR-9 (see docs/SRS.md).",,Corrections & reconciliation,Sprint 1,5,Highest,epic:corrections,Done
Story,Build the Receive Stock screen,"Batch number, expiry month/year, funding source, and a quantity stepper — in VIALS for vial-counted vaccines, with the dose equivalent shown. Expiry stored as the LAST day of the printed month. Requirements: FR-10, FR-12, FR-13, FR-15 (see docs/SRS.md).",,Stock & catalog,Sprint 1,5,Highest,epic:stock,Done
Story,Build the Stock tab with low-stock warnings,"On-hand per vaccine with LOW/OUT badges that always carry a WORD, not just a colour. Negative stock is shown, never clamped, because it is the signal that a delivery went unlogged. Requirements: FR-50, FR-58, FR-59, NFR-4 (see docs/SRS.md).",,Stock & catalog,Sprint 1,3,High,epic:stock,Done
Story,Build the Given Today report,"Every dose with time, vaccine, batch, child and staff member, plus per-vaccine totals. MUST use the effective view: ""three given, one undone"" has to read two, not three. Requirements: FR-51, FR-52, FR-56 (see docs/SRS.md).",,Reports,Sprint 1,5,Highest,epic:reports,Done
Story,Build the reconciling movement strip,"Opening / +Received / -Given / -Wasted / = Now, shown together with the primary figure. ""Now"" is read directly off the ledger and corrections absorb the residual, so the derivation reconciles BY CONSTRUCTION and cannot present a sum that fails to add up. Requirements: FR-53, FR-54, FR-55 (see docs/SRS.md).",,Reports,Sprint 1,5,High,epic:reports,Done
Story,Implement one-tap backup export,"A single zip with the full database plus spreadsheet-readable CSVs, offered to the share sheet. Uses serializeAsync, NEVER a raw file copy — under WAL journalling the recent commits are not yet in the .db file, which is how homegrown SQLite backup gets quietly broken. Requirements: FR-70, FR-71, FR-72, FR-73 (see docs/SRS.md).",,Backup & restore,Sprint 1,8,Highest,epic:backup,Done
Story,Build the design token system and component library,"56dp minimum targets, 64dp primary actions, 18pt body, 14pt floor, 7:1 body contrast, steppers instead of keyboards, and no icon-only controls outside the tab bar. Written for a 50+ clinician working one-handed in a bright room. Requirements: NFR-1, NFR-2, NFR-3, NFR-5, NFR-7 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,5,High,epic:foundation,Done
Story,Write the Layer A test suite,"Stock derivation, vial accounting, reversal, idempotency, local-date correctness, low-stock boundary, CSV quoting, backup validation, and a property test asserting the movement strip always equals derived on-hand. Requirements: NFR-50, FR-54 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,8,Highest,epic:foundation,Done
Story,Produce the first APK via EAS and archive the keystore,"CRITICAL. A sideloaded APK upgrades in place only if signed with the same key. If the keystore is lost or rotated, updating requires an uninstall, WHICH DELETES THE CLINIC DATABASE. Run eas credentials, download the keystore and password, archive them off-machine. Never change android.package. Requirements: NFR-23 (see docs/SRS.md).",,Build & delivery,Sprint 2,3,Highest,epic:delivery,To Do
Story,Build restore with validate-before-commit,"Open the candidate IN MEMORY via deserializeDatabaseAsync, inspect it fully, show a confirmation with real counts from both the backup and the phone, snapshot the live database, then commit. Migrate forward afterwards in case the backup predates the current schema. Requirements: FR-74, FR-76, FR-77, NFR-24 (see docs/SRS.md).",,Backup & restore,Sprint 2,8,Highest,epic:backup,To Do
Story,Give every restore rejection a specific message,"Not a zip / no database inside / newer schema version / missing tables / row counts contradicting the manifest. ""Restore failed"" teaches nothing and leaves the clinician unsure whether her data is safe. Requirements: FR-75 (see docs/SRS.md).",,Backup & restore,Sprint 2,3,High,epic:backup,To Do
Story,Add backup prompts and daily on-device snapshots,"Amber at 3 days OR 25 unbacked entries; red at 14 days. Never modal, never blocking. A snooze must not silence the red state. Plus one silent .db snapshot per day, retaining seven. Requirements: FR-78, FR-79, FR-80, FR-81 (see docs/SRS.md).",,Backup & restore,Sprint 2,5,High,epic:backup,To Do
Story,Add the patient register with type-ahead and quick-add,"Recent-children chips for the one-tap case, search by name prefix OR last four digits of the guardian phone, and inline creation from the dose screen. Never a separate form in the dose flow. Requirements: FR-30 (see docs/SRS.md).",,Dose entry,Sprint 2,5,High,epic:dose-entry,To Do
Story,Add the staff list and per-entry attribution,"More than one person enters data. Accountability by visibility — no login, no countersigning. Requirements: FR-21 (see docs/SRS.md).",,Stock & catalog,Sprint 2,3,Medium,epic:stock,To Do
Story,Separate government (UIP) from privately purchased balances,"funding_source is part of lot identity so the two never commingle. Counting only — no costing or accounting, which the clinician excluded. Requirements: FR-13 (see docs/SRS.md).",,Stock & catalog,Sprint 2,3,Medium,epic:stock,To Do
Story,Build the catalog editing screens,"Trade name, unit mode, doses-per-vial, safety limit, and hide-without-deleting. Carries the warning that doses-per-vial multiplies every count for that vaccine. Requirements: FR-5, FR-6, FR-8 (see docs/SRS.md).",,Stock & catalog,Sprint 2,5,High,epic:stock,To Do
Story,Wire up expo-updates for over-the-air releases,"Fingerprint runtime version, so JavaScript-only fixes — including new migrations, which are just JS and SQL strings — ship without reinstalling and without touching the clinician's data. Requirements: NFR-53 (see docs/SRS.md).",,Build & delivery,Sprint 2,3,High,epic:delivery,To Do
Story,Run the full 16-step on-phone script in airplane mode,"Steps 10 (the backup actually arrives and doses.csv opens), 11 (restore actually works), and 14 (font scale 1.6x) are the ones people skip and the ones that matter most. Requirements: NFR-20, NFR-6, NFR-30 (see docs/SRS.md).",,Build & delivery,Sprint 2,5,Highest,epic:delivery,To Do
Story,Add per-lot expiry warnings and FEFO suggestion,"First-expiry-first-out as a ONE-TAP SUGGESTION with a visible override, never a silent forced pick: the fridge may not match the app, and forcing the ""correct"" lot makes the record diverge from reality. Expired lots block; near-expiry only warns. Requirements: FR-29 (see docs/SRS.md).",,Stock & catalog,Sprint 3,8,High,epic:stock,To Do
Story,Add open-vial tracking with a discard window,"A reconstituted BCG or measles vial must be discarded after a few hours. Track opened_at and a snapshotted discard deadline, and write OPEN_VIAL_TIMEOUT wastage when it lapses rather than letting it happen implicitly. Requirements: FR-46 (see docs/SRS.md).",,Stock & catalog,Sprint 3,8,Medium,epic:stock,To Do
Story,Build the ledger / audit screen with corrections,"The full history with corrections visible as corrections, and ""Correct this entry"" available indefinitely — the snackbar is only the fast path. Requirements: FR-42 (see docs/SRS.md).",,Corrections & reconciliation,Sprint 3,5,High,epic:corrections,To Do
Story,Build blind physical-count reconciliation,"Walk lots in FEFO order asking for sealed vials and open-vial doses, and DO NOT SHOW the expected figure until after the count is entered — shown it first, a tired clinician types the expected figure. The discrepancy is recorded as a fact, never absorbed. Requirements: FR-47 (see docs/SRS.md).",,Corrections & reconciliation,Sprint 3,8,High,epic:corrections,To Do
Story,Add the history report with date range and share-as-text,"Filter by vaccine and date range, and share a plain-text summary over WhatsApp. Requirements: FR-51 (see docs/SRS.md).",,Reports,Sprint 3,5,Medium,epic:reports,To Do
Story,Build the missing-child-name completion queue,"A day-end list of doses logged without a name, completable without touching the arithmetic. Requirements: FR-23, FR-60 (see docs/SRS.md).",,Reports,Sprint 3,3,Medium,epic:reports,To Do
Story,Immunisation due-date reminders,"Requires encoding the IAP schedule. Large scope, high value — do it last, and only if she asks.",,Reports,,13,Low,epic:reports,To Do
Story,Multi-device merge,"Nearly free thanks to the existing keys: the ledger is an append-only set of immutable UUID-keyed rows, so merging is INSERT OR IGNORE and derived stock is correct by construction. Requirements: NFR-52 (see docs/SRS.md).",,Foundation & data layer,,5,Low,epic:foundation,To Do
Story,Optional PIN lock and encryption at rest,"A PIN gate is cheap and JavaScript-only. SQLCipher requires leaving Expo Go for a custom development client, so it is a separate decision. Requirements: NFR-42 (see docs/SRS.md).",,Foundation & data layer,,8,Low,epic:foundation,To Do

